일련번호,이름,생년,생월,생일,성별,나이,거주시도,휴대폰,학력,혼인여부,주거형태,직업종류코드,직업종류,월소득액,고객등급코드,월 카드 이용 총 금액,신용카드 일시불 이용금액,신용카드 할부 이용금액 합,총 대출 금액,신용등급,개설 카드 개수
31,초윤서,1948,8,21,남,71,경상북도,010-2595-1011,박사,사별,전세,3,자영업,163655623,0,190000,5000,2000,13240000,2,9
32,누의정,1960,2,26,남,59,충청북도,010-9455-2377,박사,사별,가족소유,6,주부,296116770,0,180000,5000,2000,13400000,2,9
33,원시진,1954,5,28,여,65,경상북도,010-6235-2593,석사,미혼,자가소유,6,주부,1142688,0,200000,5000,2000,12860000,2,2
34,섭윤성,1954,2,2,여,65,제주특별자치도,010-5822-9508,중졸,미혼,전세,3,자영업,39427874,0,200000,5000,2000,12760000,4,5
35,준혜승,1960,10,10,여,59,울산광역시,010-0261-4205,초대졸,사별,전세,8,무직,9956354,3,200000,5000,2000,15500000,3,8
36,경승호,1940,8,31,여,79,서울특별시,010-7491-4206,중졸,비혼,가족소유,1,회사원,50453786,1,200000,5000,3000,14790000,1,6
37,교영록,1952,3,19,남,67,광주광역시,010-7820-2069,중졸,사실혼,월세,6,주부,124256841,0,200000,5000,2000,13400000,8,8
38,호하얀,1971,6,22,남,48,경기도,010-3122-3169,박사,사실혼,전세,8,무직,23199194,0,200000,5000,2000,14030000,6,8
39,가정진,1960,10,27,남,59,경기도,010-0347-7041,초대졸,기혼,가족소유,7,학생,288658704,0,220000,5000,2000,14460000,5,4
40,형예희,1964,2,23,남,55,광주광역시,010-9238-4141,초대졸,미혼,월세,7,학생,28160621,2,230000,5000,2000,14250000,4,5
41,사의철,1955,5,7,남,64,경기도,010-9781-1081,중졸,기혼,자가소유,8,무직,156730997,1,200000,5000,2000,13990000,2,6
42,류보규,1957,12,14,남,62,대구광역시,010-6372-4507,박사,미혼,자가소유,3,자영업,27346707,1,230000,6000,2000,14020000,5,1
43,간은숙,1961,4,27,여,58,경상북도,010-3267-2371,박사,기혼,월세,6,주부,54877874,0,210000,6000,2000,14330000,1,0
44,정승호,1944,10,10,여,75,경상북도,010-7906-0665,대졸,사별,월세,7,학생,58786814,0,210000,7000,2000,11640000,9,2
45,내건호,1961,8,8,남,58,서울특별시,010-9703-4560,박사,미혼,가족소유,3,자영업,98656642,2,220000,7000,3000,10600000,2,0
46,성현철,1954,6,30,남,65,제주특별자치도,010-2086-1465,대졸,기혼,전세,6,주부,161581432,0,220000,6000,3000,11170000,3,9
47,양대종,1964,12,6,여,55,경상북도,010-8023-2916,박사,재혼,월세,3,자영업,159898568,0,210000,6000,2000,11080000,1,7
48,난지완,1956,6,17,남,63,충청북도,010-0990-4933,초졸,기혼,가족소유,8,무직,151494562,1,210000,6000,3000,11290000,7,1
49,순민영,1972,9,18,여,47,세종특별자치시,010-9026-3443,초대졸,사실혼,전세,0,NULL,25398722,1,10110000,0,0,9780000,6,4
50,표정태,1968,2,9,남,51,광주광역시,010-4075-6555,초대졸,기혼,월세,3,자영업,22549325,2,13640000,1000,1000,6830000,1,9
51,장순자,1974,4,29,여,45,경상남도,010-7518-9685,대졸,미혼,자가소유,0,NULL,41469160,0,12520000,1000,1000,6440000,2,2
52,종영일,1971,7,15,여,48,제주특별자치도,010-4555-2855,중졸,재혼,자가소유,0,NULL,2244958,0,11780000,1000,1000,6280000,2,0
53,권성규,1950,10,4,남,69,경기도,010-4234-9819,초대졸,재혼,가족소유,0,NULL,217702692,1,12070000,1000,1000,6550000,9,5
54,두영아,1970,12,6,남,49,경상북도,010-1130-5975,초대졸,사별,월세,3,자영업,271313218,1,11230000,1000,2000,5980000,10,8
55,삼인수,1962,10,27,남,57,전라북도,010-1738-4922,초졸,미혼,전세,0,NULL,164318319,3,11900000,1000,2000,6350000,7,6
56,여효신,1987,9,26,여,32,경상북도,010-1495-7707,초졸,재혼,전세,2,전문직,15432523,2,12110000,1000,2000,6540000,9,2
57,연경후,1962,4,10,남,57,울산광역시,010-8481-1726,초졸,비혼,자가소유,8,무직,279634874,0,14580000,1000,2000,7040000,6,0
58,승익수,1951,5,21,여,68,전라남도,010-0674-5892,석사,이혼,월세,6,주부,102743574,0,13870000,1000,2000,6110000,2,7
59,양일목,1954,2,25,남,65,서울특별시,010-9250-6099,중졸,사실혼,전세,3,자영업,206806421,0,11590000,2000,2000,5660000,7,1
60,서재선,1950,7,4,여,69,대구광역시,010-9765-6389,초대졸,재혼,월세,8,무직,7328331,0,12760000,2000,2000,4970000,1,7
61,섭성웅,1954,4,16,남,65,경상북도,010-7183-4311,초대졸,비혼,월세,2,전문직,29747676,1,11330000,1000,2000,4750000,1,9
62,온윤서,1972,8,8,여,47,경기도,010-2436-6581,박사,재혼,전세,8,무직,30199655,1,12520000,1000,2000,6090000,4,1
63,나선용,1984,2,18,남,35,경상북도,010-5776-8223,박사,미혼,전세,6,주부,237250314,0,13150000,1000,2000,5790000,3,1
64,대경헌,1967,9,20,여,52,제주특별자치도,010-4304-0909,중졸,재혼,월세,3,자영업,206236920,0,13050000,2000,2000,5580000,2,7
65,김명철,2006,5,4,여,13,광주광역시,010-4917-3219,대졸,기혼,가족소유,8,무직,152581201,3,12690000,2000,2000,5970000,9,7
66,진종덕,1968,11,29,여,51,강원도,010-4292-1153,대졸,재혼,월세,3,자영업,251142315,0,12790000,2000,2000,6200000,9,4
67,팽지원,1954,8,23,여,65,서울특별시,010-4028-5141,석사,미혼,전세,2,전문직,186402681,0,12350000,1000,2000,5720000,5,6
68,원승탁,1969,4,30,여,50,경기도,010-7359-9291,중졸,재혼,가족소유,3,자영업,193509786,0,9230000,2000,2000,4430000,2,8
69,윤민주,1950,5,17,여,69,전라북도,010-8043-8453,대졸,미혼,가족소유,3,자영업,43767307,1,8590000,2000,2000,3860000,10,5
70,묘혜수,1970,11,26,여,49,경상북도,010-3898-0372,중졸,기혼,가족소유,1,회사원,86880509,2,8630000,2000,2000,3650000,5,1
71,즙미주,1950,6,18,남,69,세종특별자치시,010-9817-1435,초졸,미혼,가족소유,6,주부,63321183,0,8020000,2000,2000,4160000,9,9
72,권보람,1946,9,5,남,73,대전광역시,010-4712-4671,초대졸,비혼,자가소유,0,NULL,83690,0,9860000,2000,2000,5970000,1,4
73,경석천,1957,12,28,남,62,제주특별자치도,010-6423-0015,중졸,이혼,월세,6,주부,130898473,0,15100000,0,0,13350000,6,7
74,국용덕,1953,4,7,여,66,경상북도,010-0693-9693,고졸,기혼,가족소유,6,주부,197317489,0,13800000,1000,2000,7830000,1,4
75,마상은,1959,1,4,여,60,서울특별시,010-5889-1871,중졸,재혼,자가소유,3,자영업,225749115,0,14760000,1000,2000,8440000,10,2
76,진순호,1957,8,8,남,62,충청북도,010-0641-0362,박사,비혼,전세,2,전문직,22939136,0,15440000,1000,2000,8160000,5,3
77,주태겸,1970,2,18,남,49,강원도,010-6253-6021,초대졸,사실혼,자가소유,8,무직,85709224,0,15530000,1000,2000,8430000,7,2
78,감옥순,1981,4,1,여,38,경기도,010-8947-3741,중졸,사별,자가소유,8,무직,13176996,3,13090000,1000,2000,7020000,1,1
79,환영식,1957,8,26,남,62,대구광역시,010-5715-4883,초대졸,기혼,월세,7,학생,108733174,0,13560000,1000,2000,7530000,8,7
80,즙성웅,1944,12,30,남,75,경기도,010-9075-5543,중졸,미혼,가족소유,3,자영업,19634582,0,12930000,1000,2000,6720000,9,9
81,현찬호,1978,9,9,여,41,경기도,010-5027-0207,중졸,재혼,전세,0,NULL,233408237,0,14610000,2000,2000,6770000,4,9
82,천지원,1959,8,15,남,60,제주특별자치도,010-5707-7097,석사,이혼,월세,1,회사원,132642322,1,13710000,1000,2000,6100000,4,9
83,창세현,1968,12,5,여,51,부산광역시,010-4989-0076,초졸,미혼,자가소유,6,주부,240841113,2,14100000,1000,2000,6430000,6,2
84,지윤서,1954,10,23,남,65,경기도,010-9165-1328,대졸,사별,자가소유,8,무직,79753441,2,16390000,1000,3000,8440000,7,9
85,후희진,2006,4,18,남,13,경기도,010-7664-7024,중졸,기혼,가족소유,0,NULL,65969464,3,16800000,1000,2000,6740000,9,1
86,갈영록,1957,11,25,남,62,경기도,010-3383-7762,박사,비혼,자가소유,6,주부,101604218,2,40190000,1000,2000,33010000,6,3
87,문단비,1954,1,29,여,65,경기도,010-2542-4950,박사,미혼,자가소유,6,주부,283986196,2,39760000,1000,2000,32740000,10,3
88,엽가람,1971,5,18,여,48,경상북도,010-8341-4953,대졸,재혼,전세,6,주부,57644918,1,16030000,2000,2000,8170000,1,8
89,난재일,1984,6,20,여,35,전라남도,010-3765-0140,중졸,비혼,전세,3,자영업,21655688,0,12520000,2000,2000,7180000,2,0
90,동민국,1947,5,1,여,72,강원도,010-2976-5790,석사,사별,전세,3,자영업,164997416,2,12700000,2000,2000,8200000,7,9
91,은수철,1941,12,14,남,78,제주특별자치도,010-4105-8129,박사,재혼,가족소유,0,NULL,135703555,1,13280000,1000,2000,7930000,10,8
92,초소아,1963,3,29,여,56,전라남도,010-6000-2773,박사,사실혼,가족소유,3,자영업,215201498,0,10630000,1000,2000,6100000,4,2
93,구준태,1957,6,9,남,62,울산광역시,010-7853-4308,박사,미혼,가족소유,0,NULL,107142897,0,11180000,2000,3000,6660000,6,5
94,누회창,1951,2,6,여,68,인천광역시,010-5229-5293,대졸,이혼,전세,0,NULL,30799786,2,11030000,1000,3000,6550000,9,4
95,목정심,1975,11,24,여,44,강원도,010-7146-5571,중졸,미혼,전세,6,주부,27056617,0,10910000,1000,2000,6870000,10,5
96,도자철,1993,1,10,여,26,전라북도,010-6628-3978,초졸,비혼,가족소유,8,무직,225599469,1,9050000,2000,3000,4640000,5,0
97,곽기쁨,1974,11,9,남,45,전라북도,010-4832-9840,초졸,이혼,전세,1,회사원,119336611,0,70000,0,0,24970000,3,6
98,황민율,1970,10,28,여,49,전라남도,010-5557-8633,초졸,이혼,전세,3,자영업,16532788,0,150000,3000,1000,13290000,1,3
99,창영아,1963,4,13,남,56,대전광역시,010-8697-5796,중졸,재혼,월세,6,주부,184932424,1,180000,3000,1000,13190000,8,4
100,진현윤,1961,1,26,여,58,충청북도,010-7257-7648,중졸,기혼,가족소유,6,주부,241910,0,190000,3000,1000,13580000,6,2
101,석일목,1955,2,6,여,64,경기도,010-9646-8759,대졸,이혼,가족소유,7,학생,277698466,0,160000,3000,1000,13360000,2,4
102,지준철,1960,12,5,여,59,세종특별자치시,010-8522-8630,대졸,비혼,전세,8,무직,202800310,0,180000,3000,1000,13080000,9,6
103,춘정심,1950,5,18,여,69,경상남도,010-8496-2389,초대졸,이혼,가족소유,7,학생,1508134,0,160000,3000,1000,13160000,8,0
104,내주선,1985,7,4,여,34,울산광역시,010-3229-3149,초졸,사별,자가소유,7,학생,53876255,0,160000,3000,1000,13390000,4,5
105,고미현,1944,12,14,남,75,경기도,010-7669-0809,고졸,사별,가족소유,7,학생,79411235,1,180000,3000,1000,13290000,3,4
106,기유선,1950,3,26,남,69,제주특별자치도,010-4514-7856,고졸,기혼,자가소유,8,무직,267998399,0,180000,3000,2000,13570000,6,2
107,옥철수,1971,11,23,여,48,대전광역시,010-4686-2335,초졸,사별,전세,7,학생,21043564,2,170000,3000,2000,13290000,2,2
108,증윤주,1956,1,12,남,63,제주특별자치도,010-9554-1764,박사,이혼,가족소유,7,학생,251571314,0,180000,3000,2000,12190000,4,3
109,상바다,1955,2,13,여,64,인천광역시,010-4665-6761,초졸,기혼,자가소유,8,무직,117751371,1,180000,3000,2000,12180000,7,0
110,기나리,1973,6,6,여,46,전라남도,010-6141-4759,초대졸,이혼,가족소유,5,군인,182276205,0,170000,3000,2000,12690000,3,4
111,음명준,1948,2,13,여,71,경기도,010-5448-0066,초졸,미혼,월세,6,주부,11963581,0,200000,3000,1000,13230000,2,6
112,초지헌,1964,8,31,여,55,서울특별시,010-3976-2370,대졸,비혼,자가소유,9,기타,82234,0,220000,3000,2000,13790000,10,5
113,포우석,1966,8,7,여,53,제주특별자치도,010-9270-8090,중졸,기혼,자가소유,6,주부,17644621,0,190000,3000,2000,13220000,2,7
114,나영록,1952,9,20,남,67,충청북도,010-8768-0674,중졸,사실혼,월세,6,주부,250508142,2,210000,3000,1000,12430000,3,1
115,영리나,1971,2,23,여,48,경상북도,010-4452-1206,대졸,사별,가족소유,3,자영업,32977838,0,190000,3000,1000,11760000,6,5
116,성문도,1961,5,26,여,58,충청북도,010-5892-2816,대졸,사실혼,전세,6,주부,178213233,1,200000,4000,2000,10300000,1,8
117,맹순자,1968,10,18,여,51,경상남도,010-8574-1273,중졸,미혼,자가소유,8,무직,120740585,0,210000,4000,2000,10540000,7,4
118,류경후,1963,7,26,여,56,대구광역시,010-9745-5102,박사,사별,전세,3,자영업,82856410,1,200000,4000,2000,10540000,5,9
119,선정진,1954,10,6,여,65,강원도,010-7882-8458,대졸,비혼,자가소유,6,주부,278366790,1,190000,4000,1000,12380000,9,9
120,단의철,1971,10,29,여,48,전라북도,010-2180-4558,초졸,비혼,월세,6,주부,23679517,1,190000,3000,2000,11490000,1,4
121,함선빈,1952,11,17,여,67,세종특별자치시,010-2571-6639,초졸,재혼,자가소유,3,자영업,279112684,1,5460000,0,0,5390000,1,5
122,두용규,1951,3,14,남,68,제주특별자치도,010-0023-7410,초졸,이혼,가족소유,1,회사원,179935973,0,8880000,2000,1000,5270000,7,2
123,필민율,1942,3,15,남,77,충청북도,010-5760-3433,초대졸,사별,전세,3,자영업,112882668,3,10680000,2000,1000,6810000,5,2
124,천동인,1963,1,9,남,56,서울특별시,010-1088-5686,박사,이혼,월세,3,자영업,35307907,0,10610000,2000,1000,6320000,9,6
125,전희관,1973,1,29,남,46,충청북도,010-8852-2903,박사,재혼,가족소유,6,주부,22795156,0,10810000,2000,1000,5890000,8,2
126,삼이란,1968,11,20,여,51,전라북도,010-6117-8015,석사,사실혼,자가소유,4,계열사직원,148131330,1,10270000,2000,2000,5840000,10,9
127,궉현미,1969,11,20,여,50,전라북도,010-4415-3320,박사,기혼,자가소유,8,무직,25379247,0,10690000,2000,2000,6070000,7,6
128,경승만,1970,1,19,여,49,인천광역시,010-8420-0235,대졸,기혼,가족소유,8,무직,54269783,2,10240000,2000,2000,5370000,10,0
129,요민영,1973,6,10,남,46,제주특별자치도,010-8147-8330,박사,기혼,전세,3,자영업,162621732,3,9620000,2000,2000,5260000,2,0
130,유윤서,1971,5,4,여,48,인천광역시,010-2459-0782,초졸,기혼,자가소유,6,주부,16930230,0,9680000,2000,2000,5100000,3,3
131,사월예,1957,2,13,여,62,대전광역시,010-9464-7242,초대졸,미혼,자가소유,8,무직,127553244,0,10920000,2000,2000,5370000,5,9
132,견준혁,1970,1,28,남,49,충청북도,010-1485-3805,석사,이혼,가족소유,9,기타,15695147,1,10680000,3000,2000,5010000,9,4
133,주아리,1996,9,22,여,23,광주광역시,010-6228-7139,중졸,재혼,전세,3,자영업,4050650,0,10580000,2000,2000,4470000,8,7
134,유미주,1953,11,17,남,66,경기도,010-5038-4627,초대졸,미혼,월세,3,자영업,29698486,0,9620000,2000,2000,3840000,5,5
135,영수혜,1986,11,7,남,33,경상북도,010-3674-7076,중졸,사별,월세,1,회사원,292788500,1,10190000,2000,2000,4320000,9,9
136,주예희,1982,8,20,남,37,전라남도,010-0475-4455,박사,비혼,가족소유,1,회사원,125350837,1,10120000,2000,2000,4160000,1,8
137,설지원,1958,1,31,여,61,인천광역시,010-5456-3892,고졸,비혼,월세,0,NULL,67426483,0,10030000,2000,2000,4280000,1,7
138,류준혁,1951,10,23,여,68,제주특별자치도,010-4615-9126,고졸,이혼,가족소유,0,NULL,8175215,1,11030000,2000,2000,4780000,3,1
139,뇌문량,1944,5,17,여,75,광주광역시,010-3345-7578,고졸,기혼,자가소유,3,자영업,111808434,0,11620000,2000,2000,5450000,2,0
140,노준태,1952,6,4,남,67,경상북도,010-8761-3431,초대졸,이혼,가족소유,6,주부,78200202,3,8530000,2000,2000,3970000,9,6
141,윤옥순,1965,2,18,여,54,부산광역시,010-8547-1820,초졸,미혼,자가소유,7,학생,8435929,1,8060000,2000,2000,3720000,1,6
142,상택수,1966,1,22,여,53,광주광역시,010-0221-1282,초졸,재혼,월세,1,회사원,64502788,1,7540000,2000,2000,3160000,6,1
143,견태형,1957,6,21,남,62,대구광역시,010-9903-1033,박사,미혼,월세,8,무직,212740667,1,7550000,2000,2000,3290000,2,3
144,궁용석,1953,10,21,남,66,충청북도,010-6452-5465,초졸,사별,자가소유,7,학생,537390,1,7550000,2000,2000,3460000,3,2
145,어혜승,1996,1,18,남,23,경기도,010-1760-1844,중졸,기혼,가족소유,3,자영업,222484295,0,70000,0,0,4790000,5,9
146,상수혜,1947,5,28,남,72,광주광역시,010-2494-7275,초대졸,사실혼,가족소유,3,자영업,16601628,0,160000,2000,1000,11330000,2,6
147,은승탁,1945,9,15,여,74,세종특별자치시,010-5823-5742,초졸,비혼,전세,0,NULL,22019091,0,180000,2000,1000,11340000,9,6
148,교상은,1973,4,15,남,46,인천광역시,010-2878-9115,초졸,이혼,자가소유,3,자영업,251478637,0,210000,3000,1000,15210000,4,6
149,해희준,1951,2,23,여,68,제주특별자치도,010-8772-6283,박사,기혼,월세,8,무직,72431996,0,180000,3000,1000,14880000,2,0
150,단미주,1975,10,3,여,44,경기도,010-1348-8788,초졸,미혼,월세,7,학생,30175374,2,190000,4000,1000,14240000,9,4
151,모로운,1947,5,19,여,72,서울특별시,010-6947-0816,초졸,이혼,전세,1,회사원,263629211,0,180000,3000,1000,11720000,3,2
152,교찬호,1950,11,8,여,69,경기도,010-2874-3091,중졸,이혼,월세,1,회사원,6591397,0,170000,3000,2000,10490000,6,4
153,상민주,1942,11,7,남,77,전라북도,010-8481-6230,석사,비혼,월세,1,회사원,144235592,1,180000,3000,1000,13550000,6,1
154,순석천,1946,9,20,남,73,광주광역시,010-4442-9206,초졸,사실혼,가족소유,1,회사원,260160975,1,190000,4000,1000,14380000,3,3
155,기은숙,1954,3,6,남,65,서울특별시,010-1202-8820,석사,사실혼,전세,3,자영업,15279139,0,180000,3000,1000,10860000,8,2
156,돈경주,1968,1,30,여,51,경기도,010-5916-1745,대졸,미혼,전세,0,NULL,258970597,0,180000,2000,1000,15790000,7,5
157,신천희,1951,8,1,여,68,대전광역시,010-1339-3242,박사,미혼,자가소유,0,NULL,194725184,1,190000,3000,1000,16640000,9,7
158,선혜선,1948,4,10,남,71,서울특별시,010-2581-2668,대졸,재혼,월세,0,NULL,44428297,0,180000,2000,1000,13330000,1,9
159,강철훈,1938,3,29,여,81,제주특별자치도,010-3931-3680,중졸,비혼,월세,8,무직,57763326,2,200000,2000,1000,13460000,9,6
160,탁기석,1956,7,21,남,63,충청북도,010-4940-3131,초대졸,사실혼,자가소유,7,학생,220905666,0,240000,3000,1000,14470000,4,8
161,사리나,1955,11,12,남,64,경상남도,010-1119-1097,박사,사별,자가소유,3,자영업,67707617,1,200000,2000,1000,15430000,2,7
162,편훈규,1971,5,25,여,48,경상북도,010-2285-0110,초대졸,기혼,가족소유,6,주부,3468438,0,220000,3000,1000,14390000,7,6
163,엽윤설,1951,5,29,여,68,세종특별자치시,010-7393-2442,중졸,기혼,월세,8,무직,146165146,1,200000,2000,1000,12820000,10,3
164,강순자,1955,6,27,남,64,경상북도,010-2237-4931,중졸,사별,월세,0,NULL,228549931,0,200000,3000,1000,9810000,8,3
165,도건희,1967,6,27,남,52,울산광역시,010-3695-6353,중졸,이혼,월세,3,자영업,198215377,0,210000,3000,1000,10090000,5,2
166,점민율,1959,12,6,여,60,충청북도,010-6489-4109,석사,기혼,가족소유,0,NULL,237187966,0,210000,3000,1000,10510000,7,4
167,위윤주,1980,5,10,여,39,경상북도,010-6793-3812,초졸,비혼,월세,8,무직,111964863,0,220000,3000,1000,9980000,5,2
168,온수혜,1949,8,4,남,70,전라북도,010-4579-2109,초졸,재혼,월세,3,자영업,11156681,0,200000,3000,1000,9020000,6,8
169,임흥민,1959,10,9,남,60,경기도,010-4857-0417,박사,사별,가족소유,1,회사원,1677348,0,70000,0,0,15550000,4,3
170,창동인,1964,12,26,남,55,울산광역시,010-6394-5428,고졸,이혼,월세,2,전문직,10137159,0,170000,3000,1000,14210000,4,5
171,류동인,1955,3,18,여,64,경기도,010-5769-9605,고졸,이혼,자가소유,7,학생,6317666,0,190000,3000,1000,14360000,10,6
172,어혜정,1956,9,3,남,63,광주광역시,010-0382-5708,초대졸,재혼,자가소유,1,회사원,9033246,0,200000,3000,1000,13950000,1,9
173,즙인수,1949,3,29,남,70,경기도,010-7379-2428,중졸,이혼,가족소유,7,학생,3710329,1,170000,3000,1000,14120000,8,3
174,준단비,1959,5,21,남,60,충청북도,010-1367-1196,중졸,사별,가족소유,3,자영업,264357566,3,190000,3000,1000,14650000,6,6
175,예기쁨,1978,12,31,남,41,서울특별시,010-4883-2034,중졸,재혼,월세,6,주부,171777296,0,180000,3000,1000,14100000,1,4
176,내세진,1949,8,19,남,70,광주광역시,010-0243-9285,박사,미혼,월세,8,무직,38346690,0,170000,3000,1000,14600000,4,4
177,온명철,1944,5,3,남,75,제주특별자치도,010-6537-0170,석사,이혼,전세,6,주부,159986402,0,190000,4000,1000,14410000,4,1
178,위석천,1944,1,12,남,75,경기도,010-3750-3142,초대졸,사실혼,월세,0,NULL,239884176,2,190000,3000,1000,14470000,9,3
179,국영일,1957,8,23,남,62,대전광역시,010-4433-7837,중졸,기혼,가족소유,7,학생,74533663,1,190000,4000,2000,14660000,5,5
180,염정태,1959,12,12,여,60,대전광역시,010-3654-3745,대졸,비혼,월세,6,주부,100452662,0,190000,4000,2000,14700000,10,7
181,군건호,1988,7,4,여,31,세종특별자치시,010-6042-4031,초대졸,이혼,월세,6,주부,148589759,1,190000,4000,2000,14420000,10,2
182,지영록,1970,2,16,여,49,울산광역시,010-2069-8016,박사,재혼,자가소유,1,회사원,14352573,1,190000,4000,1000,14820000,1,3
183,군태민,1955,10,7,여,64,전라북도,010-0490-4846,초대졸,기혼,전세,1,회사원,137103396,1,220000,3000,1000,15190000,8,9
184,남수완,1977,6,11,남,42,대구광역시,010-3074-7851,중졸,사별,가족소유,3,자영업,125312261,0,230000,4000,1000,14940000,1,8
185,증혜정,1968,5,30,여,51,제주특별자치도,010-3327-5000,초졸,사실혼,자가소유,8,무직,117327240,0,200000,4000,1000,15450000,6,9
186,준상철,1948,1,26,남,71,전라북도,010-7948-7638,석사,재혼,자가소유,8,무직,245133635,3,220000,4000,2000,14620000,1,3
187,견영식,1974,3,1,여,45,전라남도,010-2378-5302,초대졸,비혼,가족소유,0,NULL,8961516,1,200000,4000,1000,15660000,4,4
188,교하라,1962,8,18,남,57,울산광역시,010-4474-6955,초대졸,사실혼,월세,6,주부,280549754,1,200000,4000,2000,11990000,4,2
189,엽영록,1965,3,16,여,54,경상남도,010-6563-6224,초대졸,사실혼,가족소유,3,자영업,148827745,0,210000,4000,2000,11810000,3,2
190,미건희,1956,5,26,남,63,광주광역시,010-8998-2143,중졸,사별,자가소유,0,NULL,231564381,2,210000,4000,2000,12150000,1,3
191,학윤주,1943,8,19,남,76,광주광역시,010-1579-8658,중졸,미혼,월세,8,무직,276313988,0,200000,4000,2000,12680000,5,4
